Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
WCCA Site 1,-121.9927,39.2335,18,2010,575.66,9.1,15.7,22.2,1.13,17.86
WCCA Site 1,-121.9927,39.2335,18,2011,507.46,8.4,15.3,22.2,0.99,18.03
WCCA Site 1,-121.9927,39.2335,18,2012,628.16,9.1,16.4,23.8,1.40,21.38
WCCA Site 1,-121.9927,39.2335,18,2013,137.94,8.2,16.1,24.0,1.32,21.39
WCCA Site 1,-121.9927,39.2335,18,2014,482.67,10.0,17.5,25.0,1.17,22.41
WCCA Site 1,-121.9927,39.2335,18,2015,175.26,9.7,17.3,24.8,1.76,23.07
WCCA Site 1,-121.9927,39.2335,18,2016,446.77,10.0,17.1,24.2,1.42,21.77
WCCA Site 1,-121.9927,39.2335,18,2017,496.05,10.2,17.4,24.6,2.39,23.87
WCCA Site 1,-121.9927,39.2335,18,2018,331.98,9.2,16.8,24.5,1.62,22.34
WCCA Site 1,-121.9927,39.2335,18,2019,620.18,9.6,16.6,23.6,1.49,20.62
WCCA Site 1,-121.9927,39.2335,18,2020,127.11,9.2,17.2,25.2,1.73,24.24
WCCA Site 1,-121.9927,39.2335,18,2021,339.83,9.4,17.0,24.6,1.60,23.49
WCCA Site 1,-121.9927,39.2335,18,2022,213.27,8.8,17.1,25.5,2.03,26.66
WCCA Site 1,-121.9927,39.2335,18,2023,516.83,9.3,16.3,23.4,0.86,19.72
WCCA Site 1,-121.9927,39.2335,18,2024,588.02,10.5,17.4,24.2,1.92,22.24
,,,,,,,,,,
WCCA Site 2,-121.0263,39.2245,801,2010,1992.48,6.6,12.7,18.9,2.15,16.19
WCCA Site 2,-121.0263,39.2245,801,2011,1288.68,6.4,12.7,19.0,2.47,16.42
WCCA Site 2,-121.0263,39.2245,801,2012,1953.48,7.5,14.0,20.5,3.56,19.28
