PRISM Time Series Data
Locations: 450
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 800m
Period: 2010 - 2024
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Mar-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
516NEV109,-121.0695,39.2079,734,2010,1838.17,6.5,12.8,19.1,1.87,16.08
516NEV109,-121.0695,39.2079,734,2011,1181.90,6.1,12.6,19.2,2.05,16.29
516NEV109,-121.0695,39.2079,734,2012,1891.33,7.0,13.8,20.6,2.92,19.07
516NEV109,-121.0695,39.2079,734,2013,415.87,6.6,14.0,21.4,3.13,20.03
516NEV109,-121.0695,39.2079,734,2014,1372.33,8.6,15.2,21.8,3.50,20.28
516NEV109,-121.0695,39.2079,734,2015,758.32,7.9,14.9,21.9,3.20,20.43
516NEV109,-121.0695,39.2079,734,2016,1746.78,7.3,14.1,20.9,3.13,19.08
516NEV109,-121.0695,39.2079,734,2017,2063.40,7.7,14.3,20.9,2.57,18.64
516NEV109,-121.0695,39.2079,734,2018,1218.11,7.2,14.2,21.3,2.87,19.73
516NEV109,-121.0695,39.2079,734,2019,1719.37,6.8,13.4,20.0,2.17,17.39
516NEV109,-121.0695,39.2079,734,2020,761.74,7.7,14.8,21.9,3.80,21.23
516NEV109,-121.0695,39.2079,734,2021,1259.65,7.7,14.8,21.8,3.64,22.19
516NEV109,-121.0695,39.2079,734,2022,937.01,7.6,14.7,21.7,3.82,21.76
516NEV109,-121.0695,39.2079,734,2023,1348.29,7.6,13.8,20.0,3.03,17.70
516NEV109,-121.0695,39.2079,734,2024,1520.73,8.5,14.9,21.2,3.50,19.93

516NEV105,-121.0969,39.1117,502,2010,1401.39,7.9,14.3,20.7,2.31,18.15
516NEV105,-121.0969,39.1117,502,2011,932.22,7.6,14.2,20.8,2.40,18.35
516NEV105,-121.0969,39.1117,502,2012,1394.61,8.4,15.3,22.2,3.25,21.14
516NEV105,-121.0969,39.1117,502,2013,304.47,8.2,15.5,22.8,3.40,22.09
