Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa),soltotal (MJ/m^2/day),solslope (MJ/m^2/day)
517PSC038,-120.5271,39.5024,1936,2006,2089.26,-0.7,6.7,14.1,-4.5,1.73,14.12,17.72,17.54
517PSC038,-120.5271,39.5024,1936,2007,1242.94,-0.5,7.0,14.6,-5.0,2.20,14.61,18.55,18.35
517PSC038,-120.5271,39.5024,1936,2008,1232.94,-0.8,7.0,14.7,-5.8,2.05,15.58,18.41,18.21
517PSC038,-120.5271,39.5024,1936,2009,1499.22,-0.5,7.0,14.5,-5.2,1.74,14.44,17.97,17.78
517PSC038,-120.5271,39.5024,1936,2010,2305.17,-0.6,6.2,13.1,-3.7,1.43,12.57,17.30,17.13
517PSC038,-120.5271,39.5024,1936,2011,1562.64,-1.2,6.0,13.1,-4.8,1.24,12.58,17.67,17.47
517PSC038,-120.5271,39.5024,1936,2012,2186.30,0.2,7.5,14.7,-4.7,1.91,14.70,18.16,17.98
517PSC038,-120.5271,39.5024,1936,2013,554.46,-0.4,7.2,14.9,-5.4,2.11,14.74,18.66,18.45
517PSC038,-120.5271,39.5024,1936,2014,1610.77,1.4,8.4,15.4,-4.0,2.27,14.65,17.74,17.55
517PSC038,-120.5271,39.5024,1936,2015,1053.90,1.1,8.2,15.2,-3.9,2.12,14.07,17.40,17.21
517PSC038,-120.5271,39.5024,1936,2016,2229.79,0.6,7.5,14.5,-3.8,1.94,13.67,17.87,17.69
517PSC038,-120.5271,39.5024,1936,2017,2809.74,0.7,7.5,14.3,-3.3,1.72,13.42,17.58,17.41
517PSC038,-120.5271,39.5024,1936,2018,1394.29,0.4,7.6,14.9,-4.3,2.06,14.32,18.13,17.94
517PSC038,-120.5271,39.5024,1936,2019,2197.63,-0.3,6.5,13.2,-3.5,1.57,12.01,17.55,17.38
517PSC038,-120.5271,39.5024,1936,2020,913.40,0.8,8.2,15.5,-4.2,2.27,15.35,18.46,18.26
517PSC038,-120.5271,39.5024,1936,2021,1680.16,1.2,8.2,15.2,-3.0,2.29,15.02,18.23,18.04
517PSC038,-120.5271,39.5024,1936,2022,1281.11,0.5,7.5,14.5,-3.0,1.87,13.74,18.16,17.95
517PSC038,-120.5271,39.5024,1936,2023,1919.02,-0.5,6.2,12.9,-1.8,1.09,11.86,17.21,17.03
517PSC038,-120.5271,39.5024,1936,2024,2004.47,0.4,7.1,13.8,-1.0,1.16,12.99,17.72,17.55
,,,,,,,,,,,,,
517PLC130,-120.8007,39.5900,1056,2006,1958.61,3.2,11.1,19.0,0.0,1.96,19.22,16.83,16.36
517PLC130,-120.8007,39.5900,1056,2007,1161.63,2.6,11.4,20.2,-0.7,2.02,19.90,17.60,17.09
517PLC130,-120.8007,39.5900,1056,2008,1223.54,2.6,10.9,19.3,-1.4,2.42,21.08,17.57,17.05
517PLC130,-120.8007,39.5900,1056,2009,1458.21,3.3,11.2,19.1,-0.8,2.72,20.24,17.29,16.78
517PLC130,-120.8007,39.5900,1056,2010,2245.40,3.1,10.5,18.0,1.1,1.62,17.33,16.44,15.98
517PLC130,-120.8007,39.5900,1056,2011,1508.02,2.2,10.2,18.1,-0.2,1.58,17.62,16.84,16.33
517PLC130,-120.8007,39.5900,1056,2012,2155.32,3.2,11.4,19.7,-0.4,2.23,20.45,17.30,16.82
517PLC130,-120.8007,39.5900,1056,2013,501.29,3.0,11.2,19.5,-1.1,2.32,19.83,17.57,17.04
517PLC130,-120.8007,39.5900,1056,2014,1583.41,4.3,12.4,20.6,0.5,2.19,20.92,16.92,16.43
517PLC130,-120.8007,39.5900,1056,2015,990.42,4.0,12.4,20.8,0.4,2.05,21.28,17.02,16.50
517PLC130,-120.8007,39.5900,1056,2016,2216.24,3.7,11.5,19.4,0.8,1.99,19.52,17.21,16.74
517PLC130,-120.8007,39.5900,1056,2017,2742.24,3.9,11.7,19.5,1.3,1.86,19.54,16.95,16.48
517PLC130,-120.8007,39.5900,1056,2018,1334.59,3.3,11.7,20.1,0.0,2.12,20.78,17.37,16.87
517PLC130,-120.8007,39.5900,1056,2019,2222.59,3.0,10.7,18.3,1.1,1.59,17.88,16.73,16.26
517PLC130,-120.8007,39.5900,1056,2020,893.50,3.5,12.0,20.5,0.2,2.19,21.69,17.66,17.13
517PLC130,-120.8007,39.5900,1056,2021,1514.17,3.4,11.7,20.0,-0.5,1.79,21.46,17.72,17.22
